x (GeV),y (branching ratio)
0.22000000000000003,0.0
0.22195230795129858,0.015706806282722512
0.225909052684812,0.18324607329842932
0.23611227029466741,0.33507853403141363
0.253404564471373,0.418848167539267
0.2768115956212095,0.4607329842931937
0.3482939066834544,0.4712041884816754
0.38384218827722727,0.45549738219895286
0.4500061283183371,0.418848167539267
0.5137752700502605,0.36649214659685864
0.5763071333174657,0.27225130890052357
0.5970379443341738,0.225130890052356
0.6351273649280306,0.13089005235602094
0.6816425639064863,0.09947643979057591
0.7578801209264959,0.09947643979057591
0.7921098948292945,0.13612565445026178
0.8352324243576992,0.24083769633507854
0.8964028360855245,0.3036649214659686
0.9452030821382187,0.28272251308900526
1.0144274800598718,0.3507853403141361
1.1278849971645974,0.3298429319371728
1.1998410368873549,0.2931937172774869
1.2763876790789805,0.2670157068062827
1.322301654855617,0.2617801047120419
1.4191438442834337,0.2198952879581152
1.4444429276036155,0.21465968586387435
2.1119844769500373,0.21465968586387435
2.6573717863262063,0.16753926701570682
2.9028337586035864,0.14659685863874344
3.2274979828017543,0.13612565445026178
3.8512851068430836,0.1256544502617801
5.0201328041693385,0.1256544502617801
5.833698008455349,0.12041884816753927
6.543720517267832,0.12041884816753927
7.022966852299558,0.12041884816753927
7.6716797285611635,0.11518324607329843
10.0,0.11518324607329843
