Counter,mX[GeV],mA[GeV],ThermAvgSommerfeld,Kappa0[GeV5]
0,100.0,0.01,737.4059022868757,3.1452272427969017e+25
1, ,0.0100276803173965,688.864969689085, 
2, ,0.0100554372547902,645.2318082575907, 
3, ,0.0100832710242676,605.8723729570787, 
4, ,0.0101111818385024,570.2514863493029, 
5, ,0.0101391699107568,537.9149661975594, 
6, ,0.0101672354548836,508.47540037010145, 
7, ,0.0101953786853273,481.6007449222749, 
8, ,0.0102235998171261,457.0051244177482, 
9, ,0.0102518990659134,434.44136269768325, 
10, ,0.0102802766479197,413.6948827729439, 
11, ,0.0103087327799736,394.57869703823735, 
12, ,0.0103372676795042,376.92927114866876, 
13, ,0.0103658815645424,360.6030920596518, 
14, ,0.0103945746537226,345.473806772609, 
15, ,0.0104233471662843,331.42982607101527, 
16, ,0.0104521993220741,318.37230902096195, 
17, ,0.0104811313415468,306.2134607631363, 
18, ,0.0105101434457677,294.87508925782026, 
19, ,0.010539235856414,284.2873770059621, 
20, ,0.0105684087957763,274.3878319818706, 
21, ,0.0105976624867607,265.12038856013874, 
22, ,0.0106269971528902,256.43463446364296, 
23, ,0.0106564130183067,248.28514397853849, 
24, ,0.0106859103077722,240.63090109465372, 
25, ,0.0107154892466713,233.43479899884778, 
26, ,0.010745150061012,226.66320460903785, 
27, ,0.0107748929774283,220.28557868410826, 
28, ,0.0108047182231812,214.27414356643894, 
29, ,0.0108346260261611,208.60359186594155, 
30, ,0.0108646166148888,203.25083043375764, 
31, ,0.010894690218518,198.1947548348342, 
32, ,0.0109248470668366,193.41605024847524, 
33, ,0.0109550873902685,188.89701532611736, 
34, ,0.0109854114198755,184.6214060401971, 
35, ,0.011015819387359,180.57429698209765, 
36, ,0.0110463115250615,176.7419579250542, 
37, ,0.011076888065969,173.11174377065214, 
38, ,0.0111075492437123,169.67199625494118, 
39, ,0.0111382952925687,166.41195600835192, 
40, ,0.0111691264474642,163.3216837502927, 
41, ,0.011200042943975,160.3919895588749, 
42, ,0.0112310450183295,157.61436929260074, 
43, ,0.0112621329074097,154.98094735850162, 
44, ,0.0112933068487537,152.48442512204338, 
45, ,0.0113245670805567,150.11803434173314, 
46, ,0.0113559138416736,147.87549508632853, 
47, ,0.0113873473716202,145.75097765844077, 
48, ,0.0114188679105753,143.739068104693, 
49, ,0.0114504756993828,141.83473694226169, 
50, ,0.0114821709795528,140.03331077470756, 
51, ,0.0115139539932644,138.3304465074182, 
52, ,0.0115458249833667,136.7221079063165, 
53, ,0.0115777841933812,135.20454427198126, 
54, ,0.0116098318675034,133.77427102702845, 
55, ,0.0116419682506048,132.42805203676556, 
56, ,0.0116741935882345,131.16288350293226, 
57, ,0.0117065081266217,129.97597928767615, 
58, ,0.0117389121126767,128.86475754046512, 
59, ,0.0117714057939937,127.82682851410073, 
60, ,0.0118039894188518,126.85998346839995, 
61, ,0.0118366632362178,125.96218457068758, 
62, ,0.0118694274957473,125.13155571213433, 
63, ,0.0119022824477871,124.36637416741601, 
64, ,0.011935228343377,123.66506303306876, 
65, ,0.0119682654342515,123.02618438681021, 
66, ,0.0120013939728421,122.44843311638763, 
67, ,0.0120346142122791,121.9306313722327, 
68, ,0.0120679264063932,121.47172360333683, 
69, ,0.012101330809718,121.07077214045069, 
70, ,0.0121348276774914,120.72695329506696, 
71, ,0.012168417265658,120.43955394654097, 
72, ,0.0122020998308707,120.20796859341337, 
73, ,0.012235875630493,120.03169684836243, 
74, ,0.0122697449226007,119.91034135942363, 
75, ,0.012303707965984,119.84360614309433, 
76, ,0.0123377650201493,119.83129531780253, 
77, ,0.0123719163453216,119.87331222894288, 
78, ,0.0124061622024458,119.96965895932259, 
79, ,0.0124405028531895,120.1204362214336, 
80, ,0.0124749385599444,120.32584363049958, 
81, ,0.0125094695858287,120.58618035977635, 
82, ,0.0125440961946885,120.90184618210728, 
83, ,0.0125788186511007,121.27334290433882, 
84, ,0.0126136372203744,121.70127620379922, 
85, ,0.0126485521685529,122.18635787881655, 
86, ,0.0126835637624162,122.72940852809536, 
87, ,0.0127186722694825,123.33136067675055, 
88, ,0.0127538779580108,123.99326237004087, 
89, ,0.0127891810970023,124.71628125918201, 
90, ,0.012824581956203,125.50170920736683, 
91, ,0.0128600808061056,126.35096744801014, 
92, ,0.0128956779179515,127.26561233159607, 
93, ,0.0129313735637328,128.2473417022004, 
94, ,0.0129671680161946,129.29800194994522, 
95, ,0.0130030615488369,130.41959579130497, 
96, ,0.0130390544359168,131.61429083551914, 
97, ,0.0130751469524505,132.88442900230226, 
98, ,0.0131113393742156,134.23253686383626, 
99, ,0.0131476319777529,135.6613369926215, 
100, ,0.0131840250403686,137.17376040648955, 
101, ,0.0132205188401368,138.77296021286196, 
102, ,0.013257113655901,140.46232656642658, 
103, ,0.0132938097672768,142.24550306820208, 
104, ,0.0133306074546536,144.12640474916918, 
105, ,0.013367506999197,146.10923779918426, 
106, ,0.0134045086828509,148.19852122142922, 
107, ,0.0134416127883396,150.39911061498293, 
108, ,0.0134788195991699,152.716224313391, 
109, ,0.0135161293996335,155.15547213589073, 
110, ,0.013553542474809,157.72288704070922, 
111, ,0.0135910591105641,160.42496000735798, 
112, ,0.0136286795935577,163.26867851766818, 
113, ,0.0136664042112423,166.2615690544745, 
114, ,0.013704233251866,169.41174409318936, 
115, ,0.0137421670044748,172.72795412656527, 
116, ,0.0137802057589149,176.2196453377661, 
117, ,0.0138183498058346,179.89702362339457, 
118, ,0.0138565994366868,183.77112576852886, 
119, ,0.0138949549437313,187.85389869202857, 
120, ,0.0139334166200367,192.15828781582297, 
121, ,0.0139719847594828,196.69833576992244, 
122, ,0.0140106596567631,201.48929282937638, 
123, ,0.0140494416073866,206.54774069564613, 
124, ,0.0140883309076803,211.8917314893558, 
125, ,0.0141273278547915,217.54094412052618, 
126, ,0.0141664327466902,223.51686055627155, 
127, ,0.0142056458821707,229.84296492481494, 
128, ,0.0142449675608549,236.54496889303516, 
129, ,0.0142843980831938,243.65106734708226, 
130, ,0.01432393775047,251.192229115815, 
131, ,0.0143635868648001,259.20252832668933, 
132, ,0.0144033457291372,267.71952300738894, 
133, ,0.0144432146472728,276.78468878211226, 
134, ,0.0144831939238391,286.443917009378, 
135, ,0.0145232838643119,296.74808852989867, 
136, ,0.0145634847750124,307.7537364172727, 
137, ,0.0146037969631096,319.5238138528471, 
138, ,0.0146442207366231,332.12858660458954, 
139, ,0.0146847564044246,345.6466737434202, 
140, ,0.0147254042762412,360.16626539328126, 
141, ,0.0147661646626571,375.78655275279243, 
142, ,0.0148070378751164,392.61941371300543, 
143, ,0.014848024225925,410.7914075913476, 
144, ,0.0148891240282536,430.4461454354046, 
145, ,0.0149303375961395,451.7471188436983, 
146, ,0.0149716652444894,474.8810914195187, 
147, ,0.0150131072890817,500.06218430694616, 
148, ,0.0150546640465688,527.5368227939111, 
149, ,0.0150963358344795,557.589757487222, 
150, ,0.0151381229712219,590.5514349175485, 
151, ,0.0151800257760851,626.8070739792663, 
152, ,0.0152220445692421,666.8079139021768, 
153, ,0.0152641796717523,711.0852472007164, 
154, ,0.0153064314055635,760.2680526545794, 
155, ,0.015348800093515,815.1053211920042, 
156, ,0.0153912860593396,876.4945544024841, 
157, ,0.015433889627666,945.5184601638616, 
158, ,0.0154766111240217,1023.4926461716775, 
159, ,0.0155194508748353,1112.028232659685, 
160, ,0.015562409207439,1213.1149452581653, 
161, ,0.0156054864500707,1329.2326839553382, 
162, ,0.0156486829318773,1463.503238383956, 
